gameid,teamname,result
ESPORTSTMNT02_2558628,MGN Vikings Esports,1
ESPORTSTMNT02_2558628,Team Flash,0
ESPORTSTMNT02_2578683,BNK FEARX,0
ESPORTSTMNT02_2578683,Dplus KIA,1
ESPORTSTMNT03_2541943,J Team,1
ESPORTSTMNT03_2541943,Impunity,0
ESPORTSTMNT02_2558654,Team Flash,1
ESPORTSTMNT02_2558654,MGN Vikings Esports,0
ESPORTSTMNT03_2541951,PSG Talon,1
ESPORTSTMNT03_2541951,Dewish Team,0
ESPORTSTMNT02_2558658,MGN Vikings Esports,0
ESPORTSTMNT02_2558658,Team Flash,1
ESPORTSTMNT03_2541958,HELL PIGS,1
ESPORTSTMNT03_2541958,Beyond Gaming,0
ESPORTSTMNT02_2578705,BNK FEARX,0
ESPORTSTMNT02_2578705,Dplus KIA,1
ESPORTSTMNT02_2558665,GAM Esports,1
ESPORTSTMNT02_2558665,CERBERUS Esports,0
ESPORTSTMNT02_2558670,CERBERUS Esports,0
ESPORTSTMNT02_2558670,GAM Esports,1
ESPORTSTMNT06_2190291,Team BDS,0
ESPORTSTMNT06_2190291,GiantX,1
ESPORTSTMNT03_2562201,INTZ,0
ESPORTSTMNT03_2562201,Rensga eSports,1
ESPORTSTMNT06_2210305,MAD Lions KOI,0
ESPORTSTMNT06_2210305,SK Gaming,1
ESPORTSTMNT03_2562244,Los Grandes,1
ESPORTSTMNT03_2562244,RED Canids,0
ESPORTSTMNT06_2210313,Rogue,0
ESPORTSTMNT06_2210313,Misfits Gaming,1
ESPORTSTMNT03_2562289,FURIA,1
ESPORTSTMNT03_2562289,Liberty,0
ESPORTSTMNT06_2210314,Astralis,0
ESPORTSTMNT06_2210314,G2 Esports,1
ESPORTSTMNT03_2562322,LOUD,1
ESPORTSTMNT03_2562322,paiN Gaming,0
ESPORTSTMNT06_2190345,Fnatic,1
ESPORTSTMNT06_2190345,Team Vitality,0
ESPORTSTMNT03_2562354,Miners,0
ESPORTSTMNT03_2562354,KaBuM! Esports,1
ESPORTSTMNT03_2562368,Dignitas,0
ESPORTSTMNT03_2562368,Evil Geniuses,1
ESPORTSTMNT03_2562407,100 Thieves,0
ESPORTSTMNT03_2562407,Immortals,1
ESPORTSTMNT03_2562433,Team Liquid,1
ESPORTSTMNT03_2562433,Cloud9,0
ESPORTSTMNT03_2562453,Golden Guardians,1
ESPORTSTMNT03_2562453,NRG Kia,0
ESPORTSTMNT03_2562462,TSM,0
ESPORTSTMNT03_2562462,FlyQuest,1
ESPORTSTMNT02_2558737,Kwangdong Freecs,1
ESPORTSTMNT02_2558737,Nongshim RedForce,0
ESPORTSTMNT02_2558760,Nongshim RedForce,0
ESPORTSTMNT02_2558760,Kwangdong Freecs,1
ESPORTSTMNT03_2562539,J Team,1
ESPORTSTMNT03_2562539,Dewish Team,0
ESPORTSTMNT02_2558763,OKSavingsBank Brion,0
ESPORTSTMNT02_2558763,KT Rolster,1
ESPORTSTMNT03_2562551,HELL PIGS,0
ESPORTSTMNT03_2562551,CTBC Flying Oyster,1
ESPORTSTMNT02_2558764,SBTC Esports,0
ESPORTSTMNT03_2562566,Deep Cross Gaming,1
ESPORTSTMNT03_2562566,Frank Esports,0
ESPORTSTMNT02_2558786,SBTC Esports,0
ESPORTSTMNT03_2562589,PSG Talon,1
ESPORTSTMNT03_2562589,Impunity,0
ESPORTSTMNT02_2558803,OKSavingsBank Brion,1
ESPORTSTMNT02_2558803,KT Rolster,0
ESPORTSTMNT02_2558809,MGN Vikings Esports,1
ESPORTSTMNT02_2558809,Team Whales,0
ESPORTSTMNT02_2558810,KT Rolster,1
ESPORTSTMNT02_2558810,OKSavingsBank Brion,0
ESPORTSTMNT02_2558811,Team Whales,1
ESPORTSTMNT02_2558811,MGN Vikings Esports,0
ESPORTSTMNT02_2558812,MGN Vikings Esports,1
ESPORTSTMNT02_2558812,Team Whales,0
ESPORTSTMNT03_2542608,Liberty,1
ESPORTSTMNT03_2542608,Los Grandes,0
ESPORTSTMNT03_2542652,KaBuM! Esports,0
ESPORTSTMNT03_2542652,FURIA,1
ESPORTSTMNT03_2542716,Miners,0
ESPORTSTMNT03_2542716,LOUD,1
