patch,level_1,ban_count,ban_rate,pick_count,pick_rate,ban_pick_count,ban_pick_rate,wins,games,win_rate
12.01,Jhin,7.0,6.31,44.0,39.64,51.0,45.95,16.0,44.0,0.36363636363636365
12.01,Jinx,14.0,12.61,51.0,45.95,65.0,58.56,34.0,51.0,0.6666666666666666
12.01,Kai'Sa,3.0,2.7,1.0,0.9,4.0,3.6,1.0,1.0,1.0
12.01,Kalista,4.0,3.6,3.0,2.7,7.0,6.31,2.0,3.0,0.6666666666666666
12.01,Karma,43.0,38.74,20.0,18.02,63.0,56.76,9.0,20.0,0.45
12.01,Kassadin,1.0,0.9,3.0,2.7,4.0,3.6,1.0,3.0,0.3333333333333333
12.01,Kennen,8.0,7.21,6.0,5.41,14.0,12.61,2.0,6.0,0.3333333333333333
12.01,LeBlanc,55.0,49.55,20.0,18.02,75.0,67.57,9.0,20.0,0.45
12.01,Lee Sin,40.0,36.04,42.0,37.84,82.0,73.87,20.0,42.0,0.47619047619047616
12.01,Leona,16.0,14.41,29.0,26.13,45.0,40.54,14.0,29.0,0.4827586206896552
12.01,Lissandra,4.0,3.6,2.0,1.8,6.0,5.41,1.0,2.0,0.5
12.01,Lucian,6.0,5.41,4.0,3.6,10.0,9.01,2.0,4.0,0.5
12.01,Lulu,21.0,18.92,15.0,13.51,36.0,32.43,8.0,15.0,0.5333333333333333
12.01,Lux,6.0,5.41,11.0,9.91,17.0,15.32,8.0,11.0,0.7272727272727273
12.01,Malphite,6.0,5.41,2.0,1.8,8.0,7.21,2.0,2.0,1.0
12.01,Morgana,1.0,0.9,1.0,0.9,2.0,1.8,1.0,1.0,1.0
12.01,Nautilus,18.0,16.22,25.0,22.52,43.0,38.74,10.0,25.0,0.4
12.01,Nidalee,1.0,0.9,3.0,2.7,4.0,3.6,1.0,3.0,0.3333333333333333
12.01,Olaf,6.0,5.41,3.0,2.7,9.0,8.11,2.0,3.0,0.6666666666666666
12.01,Orianna,9.0,8.11,20.0,18.02,29.0,26.13,10.0,20.0,0.5
12.01,Ornn,3.0,2.7,9.0,8.11,12.0,10.81,4.0,9.0,0.4444444444444444
12.01,Poppy,6.0,5.41,9.0,8.11,15.0,13.51,8.0,9.0,0.8888888888888888
12.01,Pyke,2.0,1.8,1.0,0.9,3.0,2.7,1.0,1.0,1.0
12.01,Rakan,11.0,9.91,25.0,22.52,36.0,32.43,12.0,25.0,0.48
12.01,Rell,1.0,0.9,4.0,3.6,5.0,4.5,1.0,4.0,0.25
12.01,Renekton,74.0,66.67,12.0,10.81,86.0,77.48,7.0,12.0,0.5833333333333334
12.01,Ryze,8.0,7.21,10.0,9.01,18.0,16.22,2.0,10.0,0.2
12.01,Samira,2.0,1.8,5.0,4.5,7.0,6.31,4.0,5.0,0.8
12.01,Senna,1.0,0.9,2.0,1.8,3.0,2.7,2.0,2.0,1.0
12.01,Sett,7.0,6.31,5.0,4.5,12.0,10.81,4.0,5.0,0.8
12.01,Shen,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.01,Sion,1.0,0.9,6.0,5.41,7.0,6.31,2.0,6.0,0.3333333333333333
12.01,Sylas,5.0,4.5,6.0,5.41,11.0,9.91,2.0,6.0,0.3333333333333333
12.01,Syndra,14.0,12.61,17.0,15.32,31.0,27.93,6.0,17.0,0.35294117647058826
12.01,Talon,4.0,3.6,3.0,2.7,7.0,6.31,3.0,3.0,1.0
12.01,Thresh,38.0,34.23,37.0,33.33,75.0,67.57,21.0,37.0,0.5675675675675675
12.01,Trundle,2.0,1.8,9.0,8.11,11.0,9.91,3.0,9.0,0.3333333333333333
12.01,Tryndamere,27.0,24.32,10.0,9.01,37.0,33.33,8.0,10.0,0.8
